"TaxaID","source","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","method","adjusted_p_value","score","significant","Kingdom","Phylum","Class","Order","Family","Genus","Species","rab.all","rab.win.control","rab.win.Dor-out","diff.btw","diff.win","effect","overlap","we.ep","we.eBH","wi.ep","wi.eBH","Names","scores","significant_in_deseq2.x","significant_in_aldex2.x","significant_in_lefse.x","significant_in_deseq2.y","significant_in_aldex2.y","significant_in_lefse.y","n_methods","is_significant"
"ASV108","ALDEx2",NA,NA,NA,NA,NA,NA,"aldex2",0.125016088534601,2.21513374412989,TRUE,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Clade I","Clade Ia",NA,3.34144737582437,3.18194285243805,4.1351073289875,0.952927000457987,0.43295026646986,2.21513374412989,0.00782930484115282,0.034003922182955,0.125016088534601,0.00416666666666667,0.0109320521782657,NA,NA,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,1,TRUE
"ASV1097","LEfSe",NA,NA,NA,NA,NA,NA,"lefse",0.0569194738326212,3.63227514849258,TRUE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Lentibacter","algarum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ASV1097",3.63227514849258,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,3,TRUE
"ASV1097","ALDEx2",NA,NA,NA,NA,NA,NA,"aldex2",0.0308052930458016,4.89120339865982,TRUE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Lentibacter","algarum",-4.55325714081537,-5.87170642375679,4.90246373821747,10.7249161827606,2.36584699348534,4.89120339865982,0.000547999460257121,0.00468358164401298,0.0308052930458016,0,0,NA,NA,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,3,TRUE
"ASV1097","DESeq2",69.0955647785658,10.448719388625,1.18391754734936,8.82554651885877,1.08926554917322e-18,9.80338994255899e-18,"deseq2",9.80338994255899e-18,10.448719388625,TRUE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Lentibacter","algarum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,3,TRUE
"ASV111","DESeq2",113.619744114885,-1.169026390339,0.419328570385917,-2.78785294611126,0.0053058622461731,0.0112359435801313,"deseq2",0.0112359435801313,-1.169026390339,TRUE,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","SAR86 clade",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1,TRUE
"ASV111","ALDEx2",NA,NA,NA,NA,NA,NA,"aldex2",0.976079659404059,-0.379150207978245,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","SAR86 clade",NA,NA,3.20187813730007,3.42781423928793,3.10900323738275,-0.296681302086859,0.621157265352218,-0.379150207978245,0.382813130675644,0.604800088465215,0.976079659404059,0.774999999999999,1,NA,NA,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1,TRUE
"ASV113","DESeq2",99.848286153972,-0.784798928810554,0.242147389327223,-3.2409968614199,0.00119112495320117,0.00264694434044704,"deseq2",0.00264694434044704,-0.784798928810554,TRUE,"Bacteria","Cyanobacteria","Cyanobacteriia","Synechococcales","Cyanobiaceae","Cyanobium PCC-6307",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1,TRUE
"ASV113","ALDEx2",NA,NA,NA,NA,NA,NA,"aldex2",0.919686225436301,0.0387167751380859,FALSE,"Bacteria","Cyanobacteria","Cyanobacteriia","Synechococcales","Cyanobiaceae","Cyanobium PCC-6307",NA,3.18480520849963,3.18073491465781,3.20536613050397,0.016536487881524,0.485970343054033,0.0387167751380859,0.472868353320776,0.715335317604454,0.919686225436301,0.659374999999999,0.866356608026311,NA,NA,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1,TRUE
"ASV115","DESeq2",123.191170968716,2.26254175192494,0.381576423503066,5.92945898269514,3.03934420292179e-09,1.5196721014609e-08,"deseq2",1.5196721014609e-08,2.26254175192494,TRUE,"Bacteria","Actinobacteriota","Acidimicrobiia","Actinomarinales","Actinomarinaceae","Candidatus Actinomarina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,3,TRUE
"ASV115","LEfSe",NA,NA,NA,NA,NA,NA,"lefse",0.0678467715364159,3.61105282935553,TRUE,"Bacteria","Actinobacteriota","Acidimicrobiia","Actinomarinales","Actinomarinaceae","Candidatus Actinomarina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ASV115",3.61105282935553,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,3,TRUE
"ASV115","ALDEx2",NA,NA,NA,NA,NA,NA,"aldex2",0.0282460592711964,6.02203428809521,TRUE,"Bacteria","Actinobacteriota","Acidimicrobiia","Actinomarinales","Actinomarinaceae","Candidatus Actinomarina",NA,2.43789681613032,2.25703676401581,5.16337551275295,2.91365711711764,0.51825841115432,6.02203428809521,0.000547999460257121,0.00338709673349409,0.0282460592711964,0,0,NA,NA,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,3,TRUE
"ASV116","ALDEx2",NA,NA,NA,NA,NA,NA,"aldex2",0.810968888696576,-1.00530011612055,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Sedimentitalea",NA,-0.843186828772501,1.80837422251688,-4.09853705328229,-5.873740730186,4.75422281306842,-1.00530011612055,0.170545551162404,0.265749061542618,0.810968888696576,0.3875,0.881970422743999,NA,NA,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1,TRUE
