"TaxaID","source","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","method","adjusted_p_value","score","significant","Kingdom","Phylum","Class","Order","Family","Genus","Species","rab.all","rab.win.control","rab.win.pollution_cruise","diff.btw","diff.win","effect","overlap","we.ep","we.eBH","wi.ep","wi.eBH","Names","scores","significant_in_deseq2.x","significant_in_aldex2.x","significant_in_lefse.x","significant_in_deseq2.y","significant_in_aldex2.y","significant_in_lefse.y","n_methods","is_significant"
"ASV2","ALDEx2",NA,NA,NA,NA,NA,NA,"aldex2",0.142938959758225,-0.732819433233943,TRUE,"Bacteria","Cyanobacteria","Cyanobacteriia","Synechococcales","Cyanobiaceae","Prochlorococcus MIT9313","marinus",3.26815814024801,3.98723562960035,-0.396420729486056,-4.53545822130721,4.52495888886162,-0.732819433233943,0.244792446817752,0.0387659342265038,0.142938959758225,0.239015151515152,0.686465127179013,NA,NA,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,1,TRUE
"ASV20","DESeq2",28.8483477781752,-1.44872449384464,1.47255838483001,-0.980925183317294,0.326629637646369,0.4392605471796,"deseq2",0.4392605471796,-1.44872449384464,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Clade I","Clade Ia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,TRUE
"ASV20","LEfSe",NA,NA,NA,NA,NA,NA,"lefse",0.0382465389940592,-3.54194462398098,TRUE,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Clade I","Clade Ia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ASV20",-3.54194462398098,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,1,TRUE
"ASV20","ALDEx2",NA,NA,NA,NA,NA,NA,"aldex2",0.321326423070326,-0.475768819879473,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Clade I","Clade Ia",NA,4.19094303817306,4.79150617443879,3.94403802550669,-0.796923202913187,1.24439821522477,-0.475768819879473,0.139898046804075,0.104137447094006,0.321326423070326,0.138162878787879,0.421756998225185,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,TRUE
"ASV201","DESeq2",49.6902761907762,6.35606548648096,1.96850277321193,3.46231070667705,0.00053555849672961,0.0052216953431137,"deseq2",0.0052216953431137,6.35606548648096,TRUE,"Bacteria","Planctomycetota","OM190",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,2,TRUE
"ASV201","ALDEx2",NA,NA,NA,NA,NA,NA,"aldex2",0.237537102256871,1.33766770910972,TRUE,"Bacteria","Planctomycetota","OM190",NA,NA,NA,NA,0.178039829285013,-3.77331491939837,3.90517938287768,7.40048270430673,5.37677763042982,1.33766770910972,0.119173013440157,0.0468636104205047,0.237537102256871,0.0643939393939394,0.22948309356793,NA,NA,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,2,TRUE
"ASV2080","DESeq2",19.1466419298678,6.01616406579267,1.88034703936377,3.26454243132527,0.00109641039485504,0.00777454643624483,"deseq2",0.00777454643624483,6.01616406579267,TRUE,"Bacteria","Myxococcota","Polyangia","Polyangiales","Sandaracinaceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,2,TRUE
"ASV2080","ALDEx2",NA,NA,NA,NA,NA,NA,"aldex2",0.221721851600741,1.64887884447413,TRUE,"Bacteria","Myxococcota","Polyangia","Polyangiales","Sandaracinaceae",NA,NA,2.99496806792564,-4.29482833241822,4.03733823185368,7.61439885468994,4.29052198087237,1.64887884447413,0.0781283097975943,0.0395148495899216,0.221721851600741,0.0357954545454546,0.163674982894143,NA,NA,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,2,TRUE
"ASV21","DESeq2",14.7695838226436,-0.736781662433918,1.88266008896787,-0.389239769650703,0.697098786631815,0.751689132349407,"deseq2",0.751689132349407,-0.736781662433918,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","AEGEAN-169 marine group",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
"ASV21","ALDEx2",NA,NA,NA,NA,NA,NA,"aldex2",0.286480913884607,-0.631136294951192,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","AEGEAN-169 marine group",NA,NA,2.75783117024527,3.2753573090228,-0.614576407354825,-4.0797567114427,4.98515967660103,-0.631136294951192,0.341969304696059,0.0905974797539526,0.286480913884607,0.590340909090909,0.997242786857411,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
