"TaxaID","rab.all","rab.win.control","rab.win.pollution_cruise","diff.btw","diff.win","effect","overlap","we.ep","we.eBH","wi.ep","wi.eBH","method","adjusted_p_value","score","significant","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"ASV100",-0.965897489615242,-3.87500246272803,2.07220412429376,5.80209961453789,5.3759753168877,0.938619419974792,0.186529652830392,0.0956796889726843,0.33808980735824,0.109469696969697,0.338403970670773,"ALDEx2",0.33808980735824,0.938619419974792,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Hyphomicrobiaceae","Hyphomicrobium",NA
"ASV102",4.66716774443712,-2.41628402642394,6.3298554995912,7.59958650916048,6.46434330504818,1.19149382722108,0.12435426095506,0.0795833261471996,0.337611083510057,0.0674242424242424,0.275454946795453,"ALDEx2",0.337611083510057,1.19149382722108,FALSE,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","NS9 marine group",NA,NA
"ASV104",-0.00438842147225316,-2.80813882842373,2.98613511383467,2.00927967649477,7.15833070689432,0.371342792955306,0.29166723654711,0.46562732640495,0.949411304831884,0.253503787878788,0.622378857730296,"ALDEx2",0.949411304831884,0.371342792955306,FALSE,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","NS2b marine group",NA
"ASV111",-1.25753905933138,4.60586707722616,-1.7095324985598,-4.98717639706607,7.70853220962911,-0.551945071717364,0.331606642538848,0.460178299643626,0.833676320706952,0.540435606060606,0.948674298758321,"ALDEx2",0.833676320706952,-0.551945071717364,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","SAR86 clade",NA,NA
"ASV113",2.12183157004874,2.11309584818697,2.58667126594402,-0.551380229841886,3.84489207307709,-0.103541226727309,0.479166713843149,0.498734841542314,0.90449790355694,0.928172348484849,1,"ALDEx2",0.90449790355694,-0.103541226727309,FALSE,"Bacteria","Cyanobacteria","Cyanobacteriia","Synechococcales","Cyanobiaceae","Cyanobium PCC-6307",NA
"ASV116",-1.80443604062053,-2.55910760660733,-1.67903476953529,-0.242099138405752,8.6778663842666,-0.0316148583293332,0.489583356890848,0.774717999640693,0.978604154260426,0.824431818181818,0.966992277300853,"ALDEx2",0.978604154260426,-0.0316148583293332,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Sedimentitalea",NA
"ASV118",2.92470183476172,2.248516318107,3.26031931153746,0.823666594902085,4.65934401894974,0.153055177757271,0.41666686042708,0.842411812921424,0.999572227781828,0.691382575757576,1,"ALDEx2",0.999572227781828,0.153055177757271,FALSE,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","NS4 marine group",NA
"ASV120",5.1567575955518,0.466899072450425,6.74198237991272,6.23687540152343,4.24498424074831,1.02587025426899,0.196892263794227,0.0840241366017925,0.346044674822758,0.119507575757576,0.397986198303018,"ALDEx2",0.346044674822758,1.02587025426899,FALSE,"Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","Rubripirellula",NA
"ASV123",-2.21507842353641,-3.75965761489728,-1.31950461963891,3.11591756844574,6.17517113604769,0.537092855969077,0.243524094720476,0.237411191009634,0.606887427236246,0.282528409090909,0.57677088362386,"ALDEx2",0.606887427236246,0.537092855969077,FALSE,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","NS4 marine group",NA
"ASV127",-2.22751113031372,-4.1999865309962,-1.32783313914556,3.07690377139861,5.83404553347584,0.524305809076219,0.238342775047909,0.231576095203698,0.576105957648427,0.277982954545455,0.578054309235962,"ALDEx2",0.576105957648427,0.524305809076219,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Hyphomonadaceae","Maricaulis",NA
"ASV132",-2.50108139077807,-3.96325746966223,-1.90317263609564,2.56289266046294,5.63706343322505,0.413797515768126,0.281250611542652,0.366955354647385,0.695474847136173,0.366856060606061,0.624939663156653,"ALDEx2",0.695474847136173,0.413797515768126,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Brevundimonas","aurantiaca"
"ASV136",-1.61674711539352,-3.8993679670453,-0.461423805798725,4.80783162488082,5.3799185681951,0.754382654992747,0.212436194453191,0.156470994100998,0.473938110715682,0.198484848484848,0.470290758955678,"ALDEx2",0.473938110715682,0.754382654992747,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","KI89A clade",NA,NA
"ASV138",4.10622305837238,-3.7850802456417,5.29495257926591,8.5814046800177,5.04912765633805,1.41788518572972,0.088085769342426,0.0247623450383589,0.159125275093225,0.0431818181818182,0.187997268407262,"ALDEx2",0.159125275093225,1.41788518572972,TRUE,"Bacteria","Verrucomicrobiota","Verrucomicrobiae","Verrucomicrobiales","DEV007",NA,NA
"ASV141",-0.450041930499956,3.44804901518965,-1.68908224009068,-5.25202351945195,3.23637139527226,-1.431207188931,0.0781283097975943,0.00488012293000877,0.0262506716847525,0.0443181818181819,0.186832674064583,"ALDEx2",0.0262506716847525,-1.431207188931,TRUE,"Bacteria","Cyanobacteria","Cyanobacteriia","Synechococcales","Cyanobiaceae","Synechococcus CC9902",NA
"ASV160",3.6588470094418,5.22451984217217,1.91629778400899,-3.16164398234493,3.79493605293406,-1.0876420324237,0.00523319582318488,0.015079481437815,0.063872929650997,0.0133522727272727,0.0758930718742347,"ALDEx2",0.063872929650997,-1.0876420324237,TRUE,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Polaribacter","dokdonensis"
"ASV161",-2.5095541208876,-3.77982386993811,-1.91398029185273,2.19543636578786,4.71577581428234,0.350523221897346,0.321243981829087,0.371708603724264,0.754023718411459,0.380918560606061,0.693123277102496,"ALDEx2",0.754023718411459,0.350523221897346,FALSE,"Bacteria","WPS-2",NA,NA,NA,NA,NA
"ASV169",1.85206148739632,1.83497183476743,2.21804753560349,-0.495856329548446,6.15631443910798,-0.0853485325884608,0.466321319211998,0.800041003720547,0.989955141309716,0.840293560606061,1,"ALDEx2",0.989955141309716,-0.0853485325884608,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Colwelliaceae","Thalassotalea","eurytherma"
"ASV175",-0.427782103349876,6.05745795522201,-1.68904804740367,-7.89284197915892,3.65935448048944,-2.08485402835293,0.0625042185608261,0.00135077981363236,0.0103227250837772,0.0429924242424243,0.185593302515457,"ALDEx2",0.0103227250837772,-2.08485402835293,TRUE,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Colwelliaceae","Colwellia",NA
"ASV178",2.7173884127199,0.96138641192826,4.56739874833701,3.34819082359918,4.58511002746674,0.621078924941863,0.217617507910972,0.251029671038821,0.679516479469742,0.126893939393939,0.417855098280227,"ALDEx2",0.679516479469742,0.621078924941863,FALSE,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","NS9 marine group",NA,NA
"ASV180",4.50872673324065,4.57132630036582,3.18652044164003,-0.504350531724072,5.18978049648252,-0.148426477845821,0.440414642995582,0.259759296630511,0.658887844069014,0.811505681818182,1,"ALDEx2",0.658887844069014,-0.148426477845821,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Pseudoalteromonadaceae","Pseudoalteromonas",NA
"ASV192",3.28642303616567,2.91483449453721,4.13517165274599,1.59038628764224,6.81182493767817,0.246482713101891,0.269430706949312,0.728550618170502,0.999935586040936,0.292992424242424,0.729291060110957,"ALDEx2",0.999935586040936,0.246482713101891,FALSE,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","NS2b marine group",NA
"ASV201",0.388170813961631,-3.8645476858631,3.95451636019699,7.42852751993764,4.95302483391322,1.19635040680092,0.104169063671829,0.0500605805894467,0.233036596092167,0.0580492424242424,0.222931400059816,"ALDEx2",0.233036596092167,1.19635040680092,TRUE,"Bacteria","Planctomycetota","OM190",NA,NA,NA,NA
"ASV222",-2.41007514980688,-4.13363523823843,-1.94412362196393,2.34320283896921,4.97371998418609,0.381562044909344,0.300518665469849,0.36793753818689,0.716161773791397,0.375378787878788,0.64259462404868,"ALDEx2",0.716161773791397,0.381562044909344,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Litoricolaceae","Litoricola",NA
"ASV223",-1.11672836533755,5.05725600479783,-2.19069133943546,-7.72246247490554,2.92306746819187,-2.58239180312509,0.000365399848804012,0.000365867864330034,0.00424475010312953,0.0121212121212121,0.0714587725053998,"ALDEx2",0.00424475010312953,-2.58239180312509,TRUE,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Cellvibrionaceae","Aestuariicella",NA
"ASV236",-0.701453025471458,5.37354313352813,-1.2905614768138,-4.5933739167553,8.13831059817654,-0.501221487017141,0.259068059517974,0.436527809066389,0.862782248112185,0.412689393939394,0.887639768119925,"ALDEx2",0.862782248112185,-0.501221487017141,FALSE,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Aurantivirga",NA
"ASV246",3.89156691223963,-3.92973006137618,4.74693301323894,9.31336299748308,4.79013741216438,1.60311176147313,0.0781283097975943,0.0233471388293044,0.158730056387624,0.0317234848484849,0.146597372464933,"ALDEx2",0.158730056387624,1.60311176147313,TRUE,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Vibrionaceae","Vibrio",NA
"ASV248",-1.17322673582381,3.44826571452731,-1.76711970447488,-3.92223030503539,6.55330348304186,-0.554774364029992,0.326425311992643,0.407623355279015,0.734079595528553,0.467234848484849,0.856806901263321,"ALDEx2",0.734079595528553,-0.554774364029992,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Alteromonadaceae","Alteromonas","australica"
"ASV256",-2.28685493884144,-2.31737505671142,-2.28426003296072,-0.928161591490864,6.94373506119207,-0.104148885582648,0.442708464566388,0.656282409344718,0.935285729207772,0.770501893939394,0.946762274168665,"ALDEx2",0.935285729207772,-0.104148885582648,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Amylibacter",NA
"ASV257",5.56120944134833,-4.19378061468075,6.02940860284906,10.0168424713136,3.37447353095407,2.70871371077209,0.0310967802974505,0.0123855733903469,0.105762086158524,0.0102272727272727,0.0708282338912097,"ALDEx2",0.105762086158524,2.70871371077209,TRUE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Ascidiaceihabitans",NA
