"TaxaID","source","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","method","adjusted_p_value","score","significant","rab.all","rab.win.control","rab.win.Dor.in","diff.btw","diff.win","effect","overlap","we.ep","we.eBH","wi.ep","wi.eBH","Names","scores","significant_in_deseq2.x","significant_in_aldex2.x","significant_in_lefse.x","significant_in_deseq2.y","significant_in_aldex2.y","significant_in_lefse.y","n_methods","is_significant","significant_in_aldex2","significant_in_lefse","method_overlap","relab_control","relab_contrast","dominant_group","avg_relab","Kingdom","Phylum","Class","Order","Family","Genus","Species","tax_group","neg_log_p"
"ASV6","DESeq2",147.518432268321,-10.4164092989029,1.52104470458957,-6.84819405207,7.47880745942524e-12,2.05667205134194e-10,"deseq2",2.05667205134194e-10,-10.4164092989029,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,2,TRUE,TRUE,TRUE,"DESeq2 + ALDEx2 + LEfSe",0.0171588790002443,0,"control",0.0171588790002443,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Clade I","Clade Ia",NA,"Clade Ia",9.68683495363697
"ASV62","DESeq2",29.1586200578997,-8.07269963924679,2.39926987717124,-3.36464843578354,0.00076641246628675,0.00120436244702204,"deseq2",0.00120436244702204,-8.07269963924679,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1,TRUE,TRUE,FALSE,"DESeq2 + ALDEx2",0.00337154440198302,0,"control",0.00337154440198302,"Bacteria","Verrucomicrobiota","Verrucomicrobiae","Opitutales","Puniceicoccaceae","Lentimonas",NA,"Lentimonas",2.91924279459515
"ASV651","DESeq2",43.23458449747,-8.6325060084725,1.61502550406645,-5.34512054870763,9.03568977775966e-08,4.95646453012255e-07,"deseq2",4.95646453012255e-07,-8.6325060084725,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,2,TRUE,TRUE,TRUE,"DESeq2 + ALDEx2 + LEfSe",0.00506928591080089,0,"control",0.00506928591080089,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Tenacibaculum",NA,"Tenacibaculum",6.30482799741003
"ASV657","DESeq2",218.462852482023,11.5167330377996,2.80343662022793,4.1080768349467,3.98967387394211e-05,7.93500505307708e-05,"deseq2",7.93500505307708e-05,11.5167330377996,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,2,TRUE,TRUE,TRUE,"DESeq2 + ALDEx2 + LEfSe",0,0.04557945908522,"contrast",0.04557945908522,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Vibrionaceae","Vibrio",NA,"Vibrio",4.10045279234671
"ASV66","DESeq2",197.477710013538,1.92056863102525,1.16861306118543,1.64345983697721,0.100287828558953,0.11862001227403,"deseq2",0.11862001227403,1.92056863102525,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,2,TRUE,TRUE,TRUE,"DESeq2 + ALDEx2 + LEfSe",0.00656429195776298,0.0280146737442738,"contrast",0.0280146737442738,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Vibrionaceae","Vibrio",NA,"Vibrio",0.925842035364704
"ASV691","DESeq2",37.5317981471124,1.27642971917547,0.857936523803712,1.48779039446455,0.136806179645612,0.15675708084393,"deseq2",0.15675708084393,1.27642971917547,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,2,TRUE,TRUE,TRUE,"DESeq2 + ALDEx2 + LEfSe",0.0016416434998056,0.00457486964631115,"contrast",0.00457486964631115,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Dokdonia",NA,"Dokdonia",0.804772832621705
"ASV714","DESeq2",57.4619196708921,-4.98477446050459,1.28914193331638,-3.86673827891163,0.000110300690214743,0.0001989028839938,"deseq2",0.0001989028839938,-4.98477446050459,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,2,TRUE,TRUE,TRUE,"DESeq2 + ALDEx2 + LEfSe",0.00659960015119434,0.000248756218905473,"control",0.00659960015119434,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Alteromonadaceae","Aliiglaciecola",NA,"Aliiglaciecola",3.70135891977394
"ASV72","DESeq2",28.8568286059683,-8.06019428440417,3.77995026558451,-2.13235458619395,0.0329777077724971,0.0429639759563694,"deseq2",0.0429639759563694,-8.06019428440417,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1,TRUE,TRUE,FALSE,"DESeq2 + ALDEx2",0.00327971582640429,0,"control",0.00327971582640429,"Bacteria","Proteobacteria","Alphaproteobacteria","Puniceispirillales","SAR116 clade",NA,NA,NA,1.36689553512946
"ASV76","DESeq2",425.55033604569,-11.9413933962189,1.72023351361892,-6.94172814427812,3.87332062548975e-12,1.42021756267957e-10,"deseq2",1.42021756267957e-10,-11.9413933962189,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,2,TRUE,TRUE,TRUE,"DESeq2 + ALDEx2 + LEfSe",0.0492695738128566,0,"control",0.0492695738128566,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Colwelliaceae","Colwellia",NA,"Colwellia",9.84764512108619
"ASV795","DESeq2",81.899122611638,-9.55749281619976,1.62313087311995,-5.88830695939419,3.90171932392577e-09,3.90171932392577e-08,"deseq2",3.90171932392577e-08,-9.55749281619976,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,2,TRUE,TRUE,TRUE,"DESeq2 + ALDEx2 + LEfSe",0.0096270898752598,0,"control",0.0096270898752598,"Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Cyclobacteriaceae","Fabibacter",NA,"Fabibacter",7.40874397544753
