"TaxaID","source","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","method","adjusted_p_value","score","significant","rab.all","rab.win.control","rab.win.DOR1","diff.btw","diff.win","effect","overlap","we.ep","we.eBH","wi.ep","wi.eBH","Names","scores","significant_in_deseq2.x","significant_in_aldex2.x","significant_in_lefse.x","significant_in_deseq2.y","significant_in_aldex2.y","significant_in_lefse.y","n_methods","is_significant","significant_in_aldex2","significant_in_lefse","method_overlap","relab_control","relab_contrast","dominant_group","avg_relab","Kingdom","Phylum","Class","Order","Family","Genus","Species","tax_group","neg_log_p"
"ASV1232","DESeq2",31.8323712630419,-5.30799927028107,2.17775573479646,-2.49434051037933,0.0126191422645003,0.016994232435774,"deseq2",0.016994232435774,-5.30799927028107,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1,TRUE,TRUE,FALSE,"DESeq2 + ALDEx2",0.00436006961258227,0,"control",0.00436006961258227,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae",NA,NA,NA,1.76969844605214
"ASV1233","DESeq2",40.6281019701239,-7.49931774140264,1.41154947050052,-5.31291375240032,1.07886107562879e-07,3.75741271167268e-07,"deseq2",3.75741271167268e-07,-7.49931774140264,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1,TRUE,TRUE,FALSE,"DESeq2 + ALDEx2",0.0054230284346084,0,"control",0.0054230284346084,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Alteromonadaceae",NA,NA,NA,6.42511109970425
"ASV1244","DESeq2",33.2400125358465,8.27614216991673,1.27595239446027,6.48511236224805,8.86656814121919e-11,8.95523382263138e-10,"deseq2",8.95523382263138e-10,8.27614216991673,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,2,TRUE,TRUE,FALSE,"DESeq2 + ALDEx2",0,0.00569199377763444,"contrast",0.00569199377763444,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae",NA,NA,NA,9.04792307016639
"ASV1253","DESeq2",41.1938845154072,-7.53482982383879,1.39880658218869,-5.38672231829204,7.17541601415933e-08,2.68413710159294e-07,"deseq2",2.68413710159294e-07,-7.53482982383879,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1,TRUE,TRUE,FALSE,"DESeq2 + ALDEx2",0.00545809837927336,0,"control",0.00545809837927336,"Bacteria","Proteobacteria","Gammaproteobacteria","Arenicellales","Arenicellaceae","Arenicella",NA,"Arenicella",6.57119530484262
"ASV13","DESeq2",71.9719702392163,-3.80987099806658,1.1965990757296,-3.16795818373131,0.00153513599299382,0.00246109103638692,"deseq2",0.00246109103638692,-3.80987099806658,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,2,TRUE,TRUE,TRUE,"DESeq2 + ALDEx2 + LEfSe",0.00915929924084153,0.000430891614186278,"control",0.00915929924084153,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Clade I","Clade Ib",NA,"Clade Ib",2.6088723213361
"ASV1328","DESeq2",34.8682461807262,-6.98515680206579,1.64264283744723,-4.24798402745799,2.15702769254871e-05,4.2717607244592e-05,"deseq2",4.2717607244592e-05,-6.98515680206579,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1,TRUE,TRUE,FALSE,"DESeq2 + ALDEx2",0.00482684466345141,0,"control",0.00482684466345141,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae",NA,NA,NA,4.36939308157812
"ASV1331","DESeq2",34.4749685064416,8.22717705793938,1.35560699805233,6.05711807968402,1.38581864539654e-09,8.23339312853238e-09,"deseq2",8.23339312853238e-09,8.22717705793938,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,2,TRUE,TRUE,FALSE,"DESeq2 + ALDEx2",0,0.00595257551949966,"contrast",0.00595257551949966,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae",NA,NA,NA,8.0844211473753
"ASV1334","DESeq2",23.5803225821623,-6.78872126908869,1.43607909176651,-4.72678332730872,2.28104437321906e-06,5.4853686117887e-06,"deseq2",5.4853686117887e-06,-6.78872126908869,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1,TRUE,TRUE,FALSE,"DESeq2 + ALDEx2",0.00303419663710719,0,"control",0.00303419663710719,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Spongiibacteraceae","Dasania",NA,"Dasania",5.26079418291391
"ASV141","DESeq2",19.6931907617412,-6.54265737681675,1.430192367001,-4.57478715557147,4.76704366716099e-06,1.06993646751836e-05,"deseq2",1.06993646751836e-05,-6.54265737681675,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1,TRUE,TRUE,FALSE,"DESeq2 + ALDEx2",0.00260779967750312,0,"control",0.00260779967750312,"Bacteria","Cyanobacteria","Cyanobacteriia","Synechococcales","Cyanobiaceae","Synechococcus CC9902",NA,"Synechococcus CC9902",4.97064200981514
"ASV1415","DESeq2",35.3559074365249,-3.58832122064366,1.22450204175244,-2.90862288383195,0.00363024475242805,0.00564084184608051,"deseq2",0.00564084184608051,-3.58832122064366,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,2,TRUE,TRUE,TRUE,"DESeq2 + ALDEx2 + LEfSe",0.00459277392996912,0.000282140505971974,"control",0.00459277392996912,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Yoonia-Loktanella",NA,"Yoonia-Loktanella",2.24865607654431
"ASV1426","DESeq2",67.4807914700705,9.12507800709016,1.33999107757353,6.76980271932554,1.28958118026232e-11,3.25619248016235e-10,"deseq2",3.25619248016235e-10,9.12507800709016,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,2,TRUE,TRUE,FALSE,"DESeq2 + ALDEx2",0,0.0113645890316951,"contrast",0.0113645890316951,"Bacteria","Chloroflexi","Anaerolineae","C10-SB1A",NA,NA,NA,NA,9.48728993099363
"ASV1498","DESeq2",21.8609382250325,-6.6108599058322,1.4771444601606,-4.4755219200346,7.62248775940132e-06,1.63802396531816e-05,"deseq2",1.63802396531816e-05,-6.6108599058322,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1,TRUE,TRUE,FALSE,"DESeq2 + ALDEx2",0.00295822325786239,0,"control",0.00295822325786239,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Marinobacteraceae","Marinobacter","guineae","Marinobacter",4.78567974852841
"ASV1510","DESeq2",30.2685425165902,-7.08746108557707,1.43080216655762,-4.95371315495969,7.2810516737153e-07,2.0427394973479e-06,"deseq2",2.0427394973479e-06,-7.08746108557707,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1,TRUE,TRUE,FALSE,"DESeq2 + ALDEx2",0.00405578148810098,0,"control",0.00405578148810098,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Yoonia-Loktanella",NA,"Yoonia-Loktanella",5.68978701372871
"ASV1573","DESeq2",33.4998893333827,8.3081190442309,1.25744069272753,6.60647744891125,3.93572189089153e-11,5.91768292007664e-10,"deseq2",5.91768292007664e-10,8.3081190442309,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,2,TRUE,TRUE,FALSE,"DESeq2 + ALDEx2",0,0.0057081628507145,"contrast",0.0057081628507145,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Nitrincolaceae",NA,NA,NA,9.22784830881889
"ASV160","DESeq2",129.993000705728,0.186262392088535,0.383187280354247,0.486099595789934,0.626896553501471,0.652747957769573,"deseq2",0.652747957769573,0.186262392088535,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,2,TRUE,TRUE,TRUE,"DESeq2 + ALDEx2 + LEfSe",0.00975858915422139,0.00954239341122273,"control",0.00975858915422139,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Polaribacter","dokdonensis","Polaribacter",0.185254478265328
"ASV1633","DESeq2",35.3412244982291,8.37113604092466,1.2653773014837,6.61449144099513,3.72831227585833e-11,5.91768292007664e-10,"deseq2",5.91768292007664e-10,8.37113604092466,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,2,TRUE,TRUE,FALSE,"DESeq2 + ALDEx2",0,0.00600647242976654,"contrast",0.00600647242976654,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Aquimarina",NA,"Aquimarina",9.22784830881889
