"TaxaID","source","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","method","adjusted_p_value","score","significant","significant_in_deseq2.x","significant_in_aldex2.x","significant_in_lefse.x","significant_in_deseq2.y","significant_in_aldex2.y","significant_in_lefse.y","n_methods","is_significant","significant_in_aldex2","significant_in_lefse","method_overlap","relab_control","relab_contrast","dominant_group","avg_relab","Kingdom","Phylum","Class","Order","Family","Genus","Species","tax_group","neg_log_p"
"ASV1415","DESeq2",35.4603785045754,-5.479405879888,2.01961292967368,-2.71164819794374,0.00669496061466485,0.0188170500365081,"deseq2",0.0188170500365081,-5.479405879888,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1,TRUE,FALSE,FALSE,"DESeq2 only",0.00459277392996912,0,"control",0.00459277392996912,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Yoonia-Loktanella",NA,"Yoonia-Loktanella",1.72544846025439
"ASV1498","DESeq2",22.9678854901026,-4.92439427938976,2.05198855321387,-2.39830454458643,0.016471164376813,0.0315100535904249,"deseq2",0.0315100535904249,-4.92439427938976,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1,TRUE,FALSE,FALSE,"DESeq2 only",0.00295822325786239,0,"control",0.00295822325786239,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Marinobacteraceae","Marinobacter","guineae","Marinobacter",1.50155085820315
"ASV1510","DESeq2",31.869716742743,-5.41750319825091,1.98359018180841,-2.73019484631304,0.00632969024198618,0.0185670913764928,"deseq2",0.0185670913764928,-5.41750319825091,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1,TRUE,FALSE,FALSE,"DESeq2 only",0.00405578148810098,0,"control",0.00405578148810098,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Yoonia-Loktanella",NA,"Yoonia-Loktanella",1.73125612523583
"ASV160","DESeq2",92.1919821710924,-0.873925381014722,0.851887792214776,-1.02526821728037,0.305236647968257,0.353431908173772,"deseq2",0.353431908173772,-0.873925381014722,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,"DESeq2 only",0.00975858915422139,0.00180818747287719,"control",0.00975858915422139,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Polaribacter","dokdonensis","Polaribacter",0.451694244534287
"ASV1628","DESeq2",64.387067544487,3.24804634954353,2.18296480997869,1.44234109117576,0.149206173499092,0.211776504321293,"deseq2",0.211776504321293,3.24804634954353,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,"DESeq2 only",0.00119423979429389,0.00716042239259366,"contrast",0.00716042239259366,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Tenacibaculum",NA,"Tenacibaculum",0.674122224632864
"ASV168","DESeq2",116.586502349406,9.1481781278549,2.28763046242947,3.61753804355155,0.00029741862516257,0.00342636838133228,"deseq2",0.00342636838133228,9.1481781278549,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1,TRUE,FALSE,FALSE,"DESeq2 only",0,0.0151164472732533,"contrast",0.0151164472732533,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Saccharospirillaceae","Oleibacter",NA,"Oleibacter",2.46516594628026
"ASV169","DESeq2",44.9603923020469,-2.60544135222278,2.49579694360696,-1.52653075757776,0.126877736509688,0.186087346880876,"deseq2",0.186087346880876,-2.60544135222278,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,"DESeq2 only",0.00530217482913785,0,"control",0.00530217482913785,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Colwelliaceae","Thalassotalea","eurytherma","Thalassotalea",0.730283155975274
"ASV171","DESeq2",88.6949946103134,8.44573808635369,2.36942086622908,3.19038379163261,0.00142083969513582,0.00694632739844181,"deseq2",0.00694632739844181,8.44573808635369,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1,TRUE,FALSE,FALSE,"DESeq2 only",0,0.0115000723274989,"contrast",0.0115000723274989,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","NS5 marine group",NA,"NS5 marine group",2.15824475111656
"ASV1733","DESeq2",31.196466202307,-5.41192547928383,1.97188956583955,-2.74369496893726,0.00607519598464054,0.0184350774706334,"deseq2",0.0184350774706334,-5.41192547928383,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1,TRUE,FALSE,FALSE,"DESeq2 only",0.00397575379457161,0,"control",0.00397575379457161,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Tateyamaria",NA,"Tateyamaria",1.73435503299695
"ASV175","DESeq2",166.240288190153,-7.43449633925645,1.90809773505903,-3.83934663199967,0.000123362161324212,0.00271396754913267,"deseq2",0.00271396754913267,-7.43449633925645,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1,TRUE,FALSE,FALSE,"DESeq2 only",0.0201835129798666,0,"control",0.0201835129798666,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Colwelliaceae","Colwellia",NA,"Colwellia",2.56639534949753
"ASV180","DESeq2",66.3362407462511,-0.0981842051582608,1.55105022744284,-0.063315835319389,0.949515006302211,0.979211946564623,"deseq2",0.979211946564623,-0.0981842051582608,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,"DESeq2 only",0.00651120882563335,0.00202516996962245,"control",0.00651120882563335,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Pseudoalteromonadaceae","Pseudoalteromonas",NA,"Pseudoalteromonas",0.00912329669417982
"ASV1836","DESeq2",41.647624074047,-2.85684142949738,2.47433714496272,-1.57134343211564,0.116102897905741,0.173170423995003,"deseq2",0.173170423995003,-2.85684142949738,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,"DESeq2 only",0.00475929225851361,0,"control",0.00475929225851361,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Alcanivoracaceae1","Alcanivorax",NA,"Alcanivorax",0.761526279712354
"ASV2","DESeq2",36.2889961701763,-5.68354148279426,1.91857351348731,-2.96174572914567,0.00305900289544487,0.0107676901919659,"deseq2",0.0107676901919659,-5.68354148279426,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1,TRUE,FALSE,FALSE,"DESeq2 only",0.00446230148378429,0,"control",0.00446230148378429,"Bacteria","Cyanobacteria","Cyanobacteriia","Synechococcales","Cyanobiaceae","Prochlorococcus MIT9313","marinus","Prochlorococcus MIT9313",1.96787744846327
"ASV20","DESeq2",119.71796181353,1.74036225784923,0.826593850372765,2.10552829316418,0.0352453471412266,0.0574368620079248,"deseq2",0.0574368620079248,1.74036225784923,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,"DESeq2 only",0.00676687792174908,0.00831766237523507,"contrast",0.00831766237523507,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Clade I","Clade Ia",NA,"Clade Ia",1.2408092952607
"ASV223","DESeq2",98.3238766636383,-6.82600516801917,1.94202301070578,-3.51355798128239,0.000442147904264999,0.00342636838133228,"deseq2",0.00342636838133228,-6.82600516801917,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1,TRUE,FALSE,FALSE,"DESeq2 only",0.0118902614101523,0,"control",0.0118902614101523,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Cellvibrionaceae","Aestuariicella",NA,"Aestuariicella",2.46516594628026
"ASV2303","DESeq2",34.1868542187062,-2.49591179159218,2.50330128471729,-1.42157837488412,0.155148686272903,0.212853659439439,"deseq2",0.212853659439439,-2.49591179159218,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,"DESeq2 only",0.00420326117277115,0,"control",0.00420326117277115,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Winogradskyella",NA,"Winogradskyella",0.671918878910883
