"TaxaID","source","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","method","adjusted_p_value","score","significant","Kingdom","Phylum","Class","Order","Family","Genus","Species","rab.all","rab.win.control","rab.win.S-2","diff.btw","diff.win","effect","overlap","we.ep","we.eBH","wi.ep","wi.eBH","Names","scores","significant_in_deseq2.x","significant_in_aldex2.x","significant_in_lefse.x","significant_in_deseq2.y","significant_in_aldex2.y","significant_in_lefse.y","n_methods","is_significant"
"ASV104","ALDEx2",NA,NA,NA,NA,NA,NA,"aldex2",0.305480193212181,2.19030257835988,FALSE,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","NS2b marine group",NA,1.47116790560438,-5.04542106627859,6.09135508739746,11.1149786424641,4.57131578440591,2.19030257835988,0.000547999460257121,0.0763523428381853,0.305480193212181,0,0,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,TRUE
"ASV111","ALDEx2",NA,NA,NA,NA,NA,NA,"aldex2",1,0.25358390078144,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","SAR86 clade",NA,NA,2.25376221360467,2.25376221360467,2.96057780146119,2.17567457317177,8.0403086929357,0.25358390078144,0.356589929803013,0.766693240486603,1,0.443749999999999,0.985222181323198,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
"ASV111","DESeq2",57.4382926793368,-1.15439735372599,3.34617522079293,-0.344990108871956,0.730101806753777,0.747967047077159,"deseq2",0.747967047077159,-1.15439735372599,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","SAR86 clade",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
"ASV1133","LEfSe",NA,NA,NA,NA,NA,NA,"lefse",0.0832645166635506,-3.75887835352447,TRUE,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Aurantivirga",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ASV1133",-3.75887835352447,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,2,TRUE
"ASV1133","DESeq2",47.3815677266827,-8.42488850051239,2.09415974930007,-4.02304002993478,5.74517271336659e-05,0.000168975668040194,"deseq2",0.000168975668040194,-8.42488850051239,TRUE,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Aurantivirga",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,2,TRUE
"ASV1133","ALDEx2",NA,NA,NA,NA,NA,NA,"aldex2",0.540085833114809,-1.70519435655195,FALSE,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Aurantivirga",NA,0.530065963840554,2.54941521572398,-2.7577050946011,-5.13761351117873,2.80725065885209,-1.70519435655195,0.0310272461563087,0.133886737817073,0.540085833114809,0.221875,0.565707826239166,NA,NA,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,2,TRUE
"ASV1152","ALDEx2",NA,NA,NA,NA,NA,NA,"aldex2",0.144677292848057,5.17688713799121,TRUE,"Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Saprospiraceae","Aureispira",NA,-4.26957458217217,-6.34293066147943,5.71981454899835,12.0561250255268,2.4331985354955,5.17688713799121,0.000547999460257121,0.016358847021516,0.144677292848057,0,0,NA,NA,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,3,TRUE
"ASV1152","DESeq2",42.8663782208769,9.3980445263152,1.99781736930128,4.70415598078523,2.54918306296666e-06,1.45866642492738e-05,"deseq2",1.45866642492738e-05,9.3980445263152,TRUE,"Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Saprospiraceae","Aureispira",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,3,TRUE
"ASV1152","LEfSe",NA,NA,NA,NA,NA,NA,"lefse",0.0832645166635506,3.91888961134127,TRUE,"Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Saprospiraceae","Aureispira",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ASV1152",3.91888961134127,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,3,TRUE
"ASV1157","LEfSe",NA,NA,NA,NA,NA,NA,"lefse",0.0832645166635506,3.81280191265735,TRUE,"Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Saprospiraceae","Aureispira",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ASV1157",3.81280191265735,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,2,TRUE
