"TaxaID","rab.all","rab.win.control","rab.win.Dor-out","diff.btw","diff.win","effect","overlap","we.ep","we.eBH","wi.ep","wi.eBH","method","adjusted_p_value","score","significant","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"ASV965",-0.341101651233143,-3.57154524932787,6.24141217837829,10.0667263523239,3.34747878573151,3.14681675571829,0.000547999460257121,0.0395753812104898,0.178993352083332,0,0,"ALDEx2",0.178993352083332,3.14681675571829,TRUE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Thalassobius",NA
"ASV976",2.57136890444141,1.7703915586732,3.12324029102531,1.26800985235131,0.789989081169509,1.46644611923766,0.0310272461563087,0.128141128008397,0.402659337648779,0.059375,0.163372690830081,"ALDEx2",0.402659337648779,1.46644611923766,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Erythrobacter",NA
"ASV1030",1.51148630437032,1.97574859674589,-2.75284331946224,-4.73405771716814,2.26346149881471,-2.16026830857763,0.00782930484115282,0.139850185396812,0.481496072591698,0.2,0.461656145930385,"ALDEx2",0.481496072591698,-2.16026830857763,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Alteromonadaceae","Aliiglaciecola",NA
"ASV1075",-3.54793984395648,-5.81610010914545,5.84797177094676,11.5752103506883,2.4441362275613,5.03650909221591,0.000547999460257121,0.0153787117330651,0.100176151216356,0,0,"ALDEx2",0.100176151216356,5.03650909221591,TRUE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Ruegeria","conchae"
"ASV1077",-3.39354351316143,-5.65352217252496,5.0966138949704,10.6952682942445,2.97389478661472,3.70773654574411,0.000547999460257121,0.0198958099643297,0.112031485166195,0,0,"ALDEx2",0.112031485166195,3.70773654574411,TRUE,"Bacteria","Verrucomicrobiota","Lentisphaeria","Lentisphaerales","Lentisphaeraceae","Lentisphaera",NA
"ASV1133",2.72179454640219,3.23236020458399,1.06805078496552,-1.61099381630831,3.54917665991528,-0.460070113535738,0.218752092515224,0.499672808906346,0.944418119447544,0.449999999999999,0.828215528765979,"ALDEx2",0.944418119447544,-0.460070113535738,FALSE,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Aurantivirga",NA
"ASV1158",-3.33743642093371,-5.54474853314953,5.50125709104556,11.1715574903047,2.58822078167039,4.49632741916768,0.000547999460257121,0.0182190412339392,0.109681500647199,0,0,"ALDEx2",0.109681500647199,4.49632741916768,TRUE,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Crocinitomicaceae","Salinirepens",NA
"ASV1179",1.94026659250952,1.47750923840272,4.16512929805637,2.702356656392,1.07535235453841,2.42348373827189,0.000547999460257121,0.136232149334963,0.431452849063222,0.003125,0.00897435897435897,"ALDEx2",0.431452849063222,2.42348373827189,FALSE,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Aquimarina",NA
"ASV1191",-3.54323085152054,-5.58750085745151,5.61830689598537,11.3213367952401,2.68375856534995,4.47715908169739,0.000547999460257121,0.0182308186909859,0.108586725246991,0,0,"ALDEx2",0.108586725246991,4.47715908169739,TRUE,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Lutimonas",NA
"ASV1194",-0.0046230614201388,3.00328497941063,-3.16972257994756,-5.66835285180527,3.35015877822204,-1.58495068587968,0.0387751645274906,0.143400268940213,0.507587342965109,0.234375,0.511330223279838,"ALDEx2",0.507587342965109,-1.58495068587968,FALSE,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae",NA,NA
"ASV1218",3.08283114137362,2.44797235439135,3.38872895681783,1.1384657414897,1.09323685655909,0.879025011761854,0.124035339300607,0.275670391624542,0.751831424393493,0.1625,0.383959933631527,"ALDEx2",0.751831424393493,0.879025011761854,FALSE,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Aureicoccus","marinus"
"ASV1227",-3.4169976835836,-5.36859812373719,5.42384185513361,11.0035676642347,2.52946807023538,4.44508529316462,0.000547999460257121,0.0190651410621462,0.113772277713845,0,0,"ALDEx2",0.113772277713845,4.44508529316462,TRUE,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Rhodocyclaceae","Thauera",NA
"ASV1232",-1.4427880313267,2.31224539647312,-3.09824477343232,-4.34241941888847,5.98035107642807,-0.678184773211919,0.273438950036086,0.507227343262243,0.860766296442809,0.635937499999999,0.903790628231444,"ALDEx2",0.860766296442809,-0.678184773211919,FALSE,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae",NA,NA
"ASV1233",2.27168366866214,2.65548581278751,-3.44715860141114,-6.21359642689119,2.65079091451068,-2.48580881618181,0.000547999460257121,0.128567787509897,0.463177302716045,0.2,0.461656145930385,"ALDEx2",0.463177302716045,-2.48580881618181,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Alteromonadaceae",NA,NA
"ASV1236",-3.31197533177962,-5.55920011432984,5.43886975447377,10.6519460575294,2.7179214288577,4.36866941504515,0.000547999460257121,0.020891144758507,0.118571254349627,0,0,"ALDEx2",0.118571254349627,4.36866941504515,TRUE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Epibacterium",NA
"ASV1244",-3.58766514925058,-5.69030189450763,5.47718951195493,11.2141931941689,2.43797149971959,4.82474363904867,0.000547999460257121,0.0159626428788739,0.101971233865469,0,0,"ALDEx2",0.101971233865469,4.82474363904867,TRUE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae",NA,NA
"ASV1253",2.40175511107662,2.68891512257547,-2.82144545042367,-5.65262032470036,2.73288666652674,-2.1733505244089,0.000547999460257121,0.156853679615719,0.501973585254029,0.2,0.461656145930385,"ALDEx2",0.501973585254029,-2.1733505244089,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Arenicellales","Arenicellaceae","Arenicella",NA
"ASV1328",0.952614599926323,1.68133687943303,-3.54407720158351,-5.60043708574085,3.27416777126877,-1.65425895408731,0.000547999460257121,0.133522680466837,0.470517442145861,0.2,0.461656145930385,"ALDEx2",0.470517442145861,-1.65425895408731,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae",NA,NA
"ASV1331",-3.3632259723177,-5.48521923954824,5.80871166127257,11.2671872191947,2.95079279205334,3.89815229798853,0.000547999460257121,0.0229059375729662,0.12414830415097,0,0,"ALDEx2",0.12414830415097,3.89815229798853,TRUE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae",NA,NA
"ASV1334",1.37998399117836,1.81527482066844,-3.49906192597453,-5.38156463156077,2.54037583698352,-2.00679720346614,0.000547999460257121,0.145791660101445,0.481234823327514,0.2,0.461656145930385,"ALDEx2",0.481234823327514,-2.00679720346614,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Spongiibacteraceae","Dasania",NA
"ASV1415",2.10532676121834,2.10747180768684,1.45908700905905,-1.20606237065254,3.88974746753019,-0.353779579771328,0.379845599803593,0.604396339086354,0.992048640764564,0.874999999999999,0.996773119122257,"ALDEx2",0.992048640764564,-0.353779579771328,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Yoonia-Loktanella",NA
"ASV1467",-3.3096529603378,-5.57682701197921,5.17049310828868,10.9665256712541,2.75270261804119,4.07793677867001,0.000547999460257121,0.0191778971525433,0.111814049943155,0,0,"ALDEx2",0.111814049943155,4.07793677867001,TRUE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae",NA,NA
"ASV1480",-3.54145963615878,-5.4321802207891,5.46817193441572,11.1701641549843,2.38611597243181,4.30674590391872,0.000547999460257121,0.0161300997085462,0.10240834144592,0,0,"ALDEx2",0.10240834144592,4.30674590391872,TRUE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae",NA,NA
"ASV1498",0.895828850084698,1.88413425467673,-3.05550236975017,-4.87257581744629,2.76736577759171,-1.87233439492706,0.00782930484115282,0.147587574991304,0.493739661259895,0.203125,0.466802872581835,"ALDEx2",0.493739661259895,-1.87233439492706,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Marinobacteraceae","Marinobacter","guineae"
"ASV1510",1.763516262222,2.10916612716245,-3.00930305751986,-5.50261851906649,2.32257045058847,-2.19755332731126,0.000547999460257121,0.145363034481208,0.481233397297915,0.2,0.461656145930385,"ALDEx2",0.481233397297915,-2.19755332731126,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Yoonia-Loktanella",NA
"ASV1526",-3.39829387316212,-5.35633799305911,4.95002346837142,10.4806280560801,2.08988933698371,5.33956393608093,0.000547999460257121,0.0186788723745915,0.106783766895861,0,0,"ALDEx2",0.106783766895861,5.33956393608093,TRUE,"Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","Rhodopirellula",NA
"ASV1733",1.66684624512693,2.14297454642218,-3.17489466855631,-5.53658139539865,2.76147198157833,-2.1265886645053,0.000547999460257121,0.138438347335749,0.473688292288984,0.2,0.461656145930385,"ALDEx2",0.473688292288984,-2.1265886645053,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Tateyamaria",NA
"ASV1755",-3.44777740302152,-6.00608197847822,4.86660765095635,10.7811004820282,2.67874442076313,4.34090227588299,0.000547999460257121,0.0199865391367876,0.114315411178774,0,0,"ALDEx2",0.114315411178774,4.34090227588299,TRUE,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Actibacter",NA
"ASV1836",-1.8055727322757,2.28690896335554,-3.22616769872255,-4.84784708294525,5.29602109769296,-0.720238927669866,0.234376882168507,0.386855285782226,0.771679206349132,0.562499999999999,0.838281351087921,"ALDEx2",0.771679206349132,-0.720238927669866,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Alcanivoracaceae1","Alcanivorax",NA
"ASV1880",-3.36761807509883,-5.41395613611144,4.85682346716242,10.1096905973911,2.50607098170763,3.86573026872792,0.000547999460257121,0.0216571815027234,0.117715899041824,0,0,"ALDEx2",0.117715899041824,3.86573026872792,TRUE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Ruegeria",NA
"ASV1892",2.38155301670444,2.01318157451917,3.31062468171256,1.36738975527229,0.908606380504297,1.61937135564825,0.00782930484115282,0.141159719472347,0.448791204386214,0.0109375,0.0283951558265583,"ALDEx2",0.448791204386214,1.61937135564825,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Hyphomonadaceae",NA,NA
"ASV1915",-3.61235070309433,-5.80221351571317,5.01569166752836,10.7884922022641,2.87390970848894,4.06349118628838,0.000547999460257121,0.0224039880490428,0.122293855912052,0,0,"ALDEx2",0.122293855912052,4.06349118628838,TRUE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Roseobacter clade NAC11-7 lineage",NA
"ASV2303",-1.51661814740812,2.64250192604097,-3.10320380991713,-4.76156640126759,6.56750680302892,-0.638113110468374,0.271319277489628,0.503221602636753,0.852034891033108,0.643749999999999,0.902593412280193,"ALDEx2",0.852034891033108,-0.638113110468374,FALSE,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Winogradskyella",NA
"ASV2656",0.148387677856112,2.14391508762568,-3.44916083539392,-5.37208750269722,2.85094613493319,-1.79615200081535,0.0156646691693825,0.139383180502492,0.496350872165967,0.2109375,0.48028606202914,"ALDEx2",0.496350872165967,-1.79615200081535,FALSE,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae",NA,NA
"ASV3131",-1.78611317133632,2.38934323346822,-3.43917974060965,-4.63359450624074,6.13819312252642,-0.682247247324829,0.263567416398401,0.505148257437508,0.859572076531427,0.660937499999999,0.920549607637332,"ALDEx2",0.859572076531427,-0.682247247324829,FALSE,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Tenacibaculum",NA
