"TaxaID","rab.all","rab.win.control","rab.win.Dor-out","diff.btw","diff.win","effect","overlap","we.ep","we.eBH","wi.ep","wi.eBH","method","adjusted_p_value","score","significant","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"ASV30",-1.37192678357204,3.22938123817209,-2.81047918523713,-4.94712601246311,5.72621240526966,-0.862673016507887,0.203127332012097,0.373956352219409,0.75353802570523,0.5578125,0.836820756501187,"ALDEx2",0.75353802570523,-0.862673016507887,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Clade II",NA,NA
"ASV34",2.2711844384559,2.5655483532602,-0.501064219111874,-3.33868215018371,2.24549589548843,-1.5260283479012,0.00782930484115282,0.265522292882935,0.674581237531639,0.2078125,0.470689828724207,"ALDEx2",0.674581237531639,-1.5260283479012,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Clade IV",NA,NA
"ASV35",-3.40023806071745,-5.63631576278507,6.04084078275061,11.67361520917,2.45914400524564,4.87385132336028,0.000547999460257121,0.0158879296012911,0.100961767480371,0,0,"ALDEx2",0.100961767480371,4.87385132336028,TRUE,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Crocinitomicaceae","Fluviicola",NA
"ASV37",2.01032210846503,2.39910947730727,-3.46701830311443,-5.7788957920313,2.55687232242504,-2.31552364518164,0.000547999460257121,0.139803231767119,0.48477543393976,0.2,0.461656145930385,"ALDEx2",0.48477543393976,-2.31552364518164,FALSE,"Bacteria","Cyanobacteria","Cyanobacteriia","Synechococcales","Cyanobiaceae","Synechococcus CC9902",NA
"ASV39",1.68044506469132,2.14220588638081,-3.44727807995695,-5.51959523937492,2.72706057675045,-2.27969976828573,0.000547999460257121,0.148038262675405,0.490593438682056,0.2,0.461656145930385,"ALDEx2",0.490593438682056,-2.27969976828573,FALSE,"Bacteria","Actinobacteriota","Acidimicrobiia","Actinomarinales","Actinomarinaceae","Candidatus Actinomarina",NA
"ASV42",0.435484724042318,0.962641925434688,-3.12957024673275,-4.61558548397623,2.53606376330511,-1.7562544855462,0.0156646691693825,0.161488088416436,0.512800877932276,0.225,0.488610026202713,"ALDEx2",0.512800877932276,-1.7562544855462,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Marinomonadaceae","Marinomonas",NA
"ASV45",2.03267328864369,2.4912770153953,-3.30529331302181,-5.97505528020214,2.59949981532529,-2.42581663089128,0.000547999460257121,0.12053621961654,0.435474764734468,0.2,0.461656145930385,"ALDEx2",0.435474764734468,-2.42581663089128,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Clade I","Clade Ib",NA
"ASV47",-1.43982018309993,2.33688337885882,-3.28090928436726,-4.26059488639348,5.22868406554373,-0.737351133366344,0.250001695344365,0.40426618597133,0.78875431780905,0.546875,0.833766278039858,"ALDEx2",0.78875431780905,-0.737351133366344,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Clade I","Clade Ib",NA
"ASV49",3.4137948141685,4.42708971570302,-3.23405107577991,-8.17369404353034,3.40413728803796,-2.41117896275188,0.000547999460257121,0.0708934122871073,0.355835082559228,0.2,0.461656145930385,"ALDEx2",0.355835082559228,-2.41117896275188,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Colwelliaceae","Colwellia",NA
"ASV50",3.39090759854779,1.51678191781343,3.65776002676212,2.14568272800175,0.985629608601593,0.779820322577005,0.302326754637769,0.411307535663299,0.944335736168291,0.396874999999999,0.987401165330455,"ALDEx2",0.944335736168291,0.779820322577005,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Pseudophaeobacter",NA
