"TaxaID","source","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","method","adjusted_p_value","score","significant","Kingdom","Phylum","Class","Order","Family","Genus","Species","Names","scores","significant_in_deseq2.x","significant_in_aldex2.x","significant_in_lefse.x","significant_in_deseq2.y","significant_in_aldex2.y","significant_in_lefse.y","n_methods","is_significant"
"ASV454","DESeq2",36.0139761746038,1.92898988253059,1.73492899241213,1.0962729096171,0.272959361034844,0.360937998062604,"deseq2",0.360937998062604,1.92898988253059,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Clade II",NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
"ASV464","DESeq2",54.990486754957,-0.0292535936457169,0.561357056060803,-0.0521108784264017,0.958440345013929,0.970572501279928,"deseq2",0.970572501279928,-0.0292535936457169,FALSE,"Bacteria","Actinobacteriota","Acidimicrobiia","Actinomarinales","Actinomarinaceae","Candidatus Actinomarina",NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
"ASV466","DESeq2",23.7761718823925,-5.23271740089609,1.73205673046276,-3.02103007701555,0.00251916335060091,0.00760502143577633,"deseq2",0.00760502143577633,-5.23271740089609,TRUE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae",NA,NA,NA,NA,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1,TRUE
"ASV47","DESeq2",176.78539877832,-0.0114496043404072,0.385917508809409,-0.0296685386324042,0.976331403405183,0.982471852483203,"deseq2",0.982471852483203,-0.0114496043404072,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Clade I","Clade Ib",NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
"ASV488","DESeq2",84.3400683380919,-1.35255388766313,2.19233888828004,-1.5041620867754,0.132539637142396,0.225599382370035,"deseq2",0.225599382370035,-1.35255388766313,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Colwelliaceae","Litorilituus",NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
"ASV49","DESeq2",157.361030063277,-5.91278901941102,1.84447363384138,-3.16164518710926,0.00156880590124714,0.00570474873180777,"deseq2",0.00570474873180777,-5.91278901941102,TRUE,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Colwelliaceae","Colwellia",NA,NA,NA,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1,TRUE
"ASV494","DESeq2",24.2343006097643,-3.80174615057593,2.04799746603808,-1.96307682198603,0.049637248291324,0.0956862617664077,"deseq2",0.0956862617664077,-3.80174615057593,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","AEGEAN-169 marine group",NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
"ASV5","DESeq2",1130.22734443975,1.46396924813006,0.243190014527944,6.02003478093659,1.74379596544497e-09,3.9858193495885e-08,"deseq2",3.9858193495885e-08,1.46396924813006,TRUE,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Clade II",NA,NA,NA,NA,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1,TRUE
"ASV50","DESeq2",312.58408391535,-1.63625129722227,2.21308246794052,-1.05839309912978,0.289876264264774,0.371041618258911,"deseq2",0.371041618258911,-1.63625129722227,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Pseudophaeobacter",NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
"ASV500","DESeq2",20.2453621819447,-3.69337104246771,2.05755284281004,-1.88458104347143,0.0594864236225282,0.109400319305799,"deseq2",0.109400319305799,-3.69337104246771,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","SAR86 clade",NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
"ASV506","DESeq2",48.9467591262003,2.28726185280139,2.15373050904401,0.986337004101987,0.323967766966303,0.408148367831563,"deseq2",0.408148367831563,2.28726185280139,FALSE,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Aurantivirga",NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,TRUE
"ASV506","LEfSe",NA,NA,NA,NA,NA,NA,"lefse",0.146793087308571,3.53549515900384,TRUE,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Aurantivirga",NA,"ASV506",3.53549515900384,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,1,TRUE
"ASV507","DESeq2",28.0141380971961,-1.44360477477399,2.20165703855403,-1.25639438359437,0.208973016930957,0.298532881329938,"deseq2",0.298532881329938,-1.44360477477399,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Clade I","Clade Ia",NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
"ASV51","DESeq2",237.899563554043,1.19719047290059,0.305733897022439,3.91632260099605,8.99099196440949e-05,0.000757136165423957,"deseq2",0.000757136165423957,1.19719047290059,TRUE,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Clade I","Clade Ib",NA,NA,NA,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1,TRUE
"ASV53","DESeq2",172.890401499367,-2.78912242833345,2.16262217346447,-2.27838602312659,0.0227035884050616,0.0504524186779147,"deseq2",0.0504524186779147,-2.78912242833345,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Colwelliaceae","Colwellia",NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
"ASV536","LEfSe",NA,NA,NA,NA,NA,NA,"lefse",0.0758337731605975,4.34819648415814,TRUE,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Psychromonadaceae","Agarivorans","albus","ASV536",4.34819648415814,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,2,TRUE
"ASV536","DESeq2",211.420210635867,11.7712694626878,1.17223762150465,10.0257498055854,1.17464600683425e-23,6.26477870311597e-22,"deseq2",6.26477870311597e-22,11.7712694626878,TRUE,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Psychromonadaceae","Agarivorans","albus",NA,NA,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,2,TRUE
"ASV549","DESeq2",22.5414267213939,-1.43720195500492,2.20120669652887,-1.19738317465888,0.23115723862236,0.317545824443493,"deseq2",0.317545824443493,-1.43720195500492,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","SAR86 clade",NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
"ASV56","DESeq2",100.668221571414,-1.62788047611553,0.373422787344385,-4.34749248807544,1.37702785438248e-05,0.000169480351308612,"deseq2",0.000169480351308612,-1.62788047611553,TRUE,"Archaea","Crenarchaeota","Nitrososphaeria","Nitrosopumilales","Nitrosopumilaceae","Candidatus Nitrosopelagicus",NA,NA,NA,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1,TRUE
"ASV584","DESeq2",46.7000987494749,1.17041679009231,0.396283585920244,2.95557111285426,0.00312090741303168,0.00891687832294767,"deseq2",0.00891687832294767,1.17041679009231,TRUE,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Clade I","Clade Ib",NA,NA,NA,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1,TRUE
"ASV591","DESeq2",22.6474044993926,-5.21398928669536,1.70143353418287,-3.06451193701252,0.0021802547351309,0.00726751578376966,"deseq2",0.00726751578376966,-5.21398928669536,TRUE,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Clade I","Clade Ib",NA,NA,NA,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1,TRUE
