"TaxaID","rab.all","rab.win.control","rab.win.Dor-in","diff.btw","diff.win","effect","overlap","we.ep","we.eBH","wi.ep","wi.eBH","method","adjusted_p_value","score","significant","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"ASV50",2.55973097308636,1.63584602030993,2.87089601341456,1.15755267354016,1.76194525732965,0.502331807521393,0.335938435121624,0.773349393466478,1,0.431249999999999,0.99598275371955,"ALDEx2",1,0.502331807521393,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Pseudophaeobacter",NA
"ASV51",2.04993880504226,2.32017748756088,-2.73028400062974,-5.11047593670581,2.26226206737615,-2.1000502794858,0.000547999460257121,0.144217986141951,0.477170938029064,0.2,0.4620921592711,"ALDEx2",0.477170938029064,-2.1000502794858,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Clade I","Clade Ib",NA
"ASV53",2.1936927753868,3.29479591175602,-3.17876530566955,-7.74618336035005,4.05559205935914,-2.03809940692022,0.000547999460257121,0.0733495019683806,0.369590757746242,0.2,0.4620921592711,"ALDEx2",0.369590757746242,-2.03809940692022,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Colwelliaceae","Colwellia",NA
"ASV56",0.672290116346979,2.76445434698554,-3.36100210112831,-5.32367505068885,3.19320244780669,-1.7764605685175,0.00782930484115282,0.131247967618809,0.465606489339268,0.2046875,0.470099724377723,"ALDEx2",0.465606489339268,-1.7764605685175,FALSE,"Archaea","Crenarchaeota","Nitrososphaeria","Nitrosopumilales","Nitrosopumilaceae","Candidatus Nitrosopelagicus",NA
"ASV62",-0.639138305106583,2.14130611131862,-3.00756899098286,-4.59751490859214,3.42356749744799,-1.29358726425882,0.0625094885240508,0.174900104655459,0.538925948334796,0.2796875,0.589779196374131,"ALDEx2",0.538925948334796,-1.29358726425882,FALSE,"Bacteria","Verrucomicrobiota","Verrucomicrobiae","Opitutales","Puniceicoccaceae","Lentimonas",NA
"ASV66",3.69074339060407,3.30736554132995,7.50130297226167,4.30396865935333,0.723842805919524,6.1209930492373,0.000547999460257121,0.0347230587608483,0.176147405011143,0,0,"ALDEx2",0.176147405011143,6.1209930492373,TRUE,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Vibrionaceae","Vibrio",NA
"ASV72",-1.57931598885124,1.51268883188129,-3.39468430795386,-4.49479257540989,5.41909751046932,-0.779006453435401,0.218752092515224,0.367649479898005,0.742841548058162,0.512499999999999,0.811498384497449,"ALDEx2",0.742841548058162,-0.779006453435401,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","Puniceispirillales","SAR116 clade",NA,NA
"ASV76",5.42630878417789,5.798463882941,-3.3616259417513,-9.12243991166526,2.29818721589842,-3.85864458920792,0.000547999460257121,0.0923761172720339,0.376336087898179,0.2,0.4620921592711,"ALDEx2",0.376336087898179,-3.85864458920792,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Colwelliaceae","Colwellia",NA
"ASV81",2.08559804586644,2.48474253744461,-3.1735114407415,-6.974414899514,3.17935593057976,-2.03045421201552,0.000547999460257121,0.0969635864200362,0.402983362892329,0.2,0.4620921592711,"ALDEx2",0.402983362892329,-2.03045421201552,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Pseudophaeobacter",NA
"ASV92",-0.0636520530142075,2.72391720867609,-2.8610566747833,-5.35357757387081,3.21150689209861,-1.56521366679777,0.0156646691693825,0.118950168877226,0.457790161622343,0.215625,0.489484464149396,"ALDEx2",0.457790161622343,-1.56521366679777,FALSE,"Bacteria","Verrucomicrobiota","Verrucomicrobiae","Opitutales","Puniceicoccaceae","Coraliomargarita",NA
