"TaxaID","source","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","method","adjusted_p_value","score","significant","Kingdom","Phylum","Class","Order","Family","Genus","Species","rab.all","rab.win.control","rab.win.Dor-in","diff.btw","diff.win","effect","overlap","we.ep","we.eBH","wi.ep","wi.eBH","Names","scores","significant_in_deseq2.x","significant_in_aldex2.x","significant_in_lefse.x","significant_in_deseq2.y","significant_in_aldex2.y","significant_in_lefse.y","n_methods","is_significant"
"ASV39","DESeq2",30.7173936766906,-8.14108540431329,1.68257762932431,-4.83846050394868,1.30848690734192e-06,4.38069034580221e-06,"deseq2",4.38069034580221e-06,-8.14108540431329,TRUE,"Bacteria","Actinobacteriota","Acidimicrobiia","Actinomarinales","Actinomarinaceae","Candidatus Actinomarina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1,TRUE
"ASV4","DESeq2",166.95986299431,-10.5920173028383,1.55841048841077,-6.79667993869818,1.07057571209599e-11,2.35526656661118e-10,"deseq2",2.35526656661118e-10,-10.5920173028383,TRUE,"Bacteria","Cyanobacteria","Cyanobacteriia","Synechococcales","Cyanobiaceae","Synechococcus CC9902",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1,TRUE
"ASV4","ALDEx2",NA,NA,NA,NA,NA,NA,"aldex2",0.401456011899632,-2.80279342106921,FALSE,"Bacteria","Cyanobacteria","Cyanobacteriia","Synechococcales","Cyanobiaceae","Synechococcus CC9902",NA,3.86597417776942,4.80066574152351,-3.22976696199064,-7.85042475186455,2.82253371411235,-2.80279342106921,0.000547999460257121,0.0997737821590826,0.401456011899632,0.2,0.461206966504706,NA,NA,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1,TRUE
"ASV410","DESeq2",24.066196718537,1.32727875662252,3.11601063239075,0.425954501831776,0.670140999645903,0.70261808263592,"deseq2",0.70261808263592,1.32727875662252,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Pseudoalteromonadaceae","Pseudoalteromonas","citrea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,TRUE
"ASV410","ALDEx2",NA,NA,NA,NA,NA,NA,"aldex2",0.376289355670417,1.5570487505684,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Pseudoalteromonadaceae","Pseudoalteromonas","citrea",1.73785271881726,-3.94365062045988,4.27074232549789,7.59839157538371,4.55631871977241,1.5570487505684,0.000547999460257121,0.112573185642776,0.376289355670417,0,0,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,TRUE
"ASV410","LEfSe",NA,NA,NA,NA,NA,NA,"lefse",0.0832645166635506,3.51706984483685,TRUE,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Pseudoalteromonadaceae","Pseudoalteromonas","citrea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ASV410",3.51706984483685,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,1,TRUE
"ASV42","ALDEx2",NA,NA,NA,NA,NA,NA,"aldex2",0.52528021588498,-1.43858548165133,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Marinomonadaceae","Marinomonas",NA,0.51117391007872,1.0252488950167,-3.05501956226205,-4.67251002460241,2.87249751233918,-1.43858548165133,0.0155432426385351,0.167825844032768,0.52528021588498,0.215625,0.478144071160658,NA,NA,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1,TRUE
"ASV42","DESeq2",22.1841991206193,-7.69077777064426,2.00210270635073,-3.84135026951858,0.000122359365019315,0.00021708919600201,"deseq2",0.00021708919600201,-7.69077777064426,TRUE,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Marinomonadaceae","Marinomonas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1,TRUE
"ASV424","DESeq2",16.5198315280458,-2.49787570934839,4.19648815835402,-0.595230014977125,0.551689729559364,0.594959512269903,"deseq2",0.594959512269903,-2.49787570934839,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Pseudophaeobacter","arcticus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
"ASV424","ALDEx2",NA,NA,NA,NA,NA,NA,"aldex2",0.990894683351797,0.449467291222947,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Pseudophaeobacter","arcticus",-2.1191844764136,-3.36382961381474,0.845042076426543,2.84452463761839,6.5832552963256,0.449467291222947,0.390625584253894,0.642716862391432,0.990894683351797,0.565625,0.97378563905574,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
"ASV43","DESeq2",21.5261540792446,0.0487103667687659,1.84866497513492,0.0263489423037351,0.978979018132002,0.978979018132002,"deseq2",0.978979018132002,0.0487103667687659,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Pseudoalteromonadaceae","Pseudoalteromonas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
"ASV43","ALDEx2",NA,NA,NA,NA,NA,NA,"aldex2",0.507186153769808,1.82256578575484,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Pseudoalteromonadaceae","Pseudoalteromonas",NA,1.80976616850194,0.892406513313474,3.57377138214309,2.74662001629707,1.57993931442964,1.82256578575484,0.000547999460257121,0.166342074578373,0.507186153769808,0,0,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
"ASV441","DESeq2",68.5741090782275,3.04252896557226,3.14084207143678,0.968698487976015,0.332695647198778,0.365965211918655,"deseq2",0.365965211918655,3.04252896557226,FALSE,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Winogradskyella",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,TRUE
"ASV441","ALDEx2",NA,NA,NA,NA,NA,NA,"aldex2",0.318275666726473,1.83003707535981,FALSE,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Winogradskyella",NA,2.39273636899256,-4.41238883630277,6.22172348486983,10.7201606641398,5.68114549581695,1.83003707535981,0.000547999460257121,0.089323687825576,0.318275666726473,0,0,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,TRUE
"ASV441","LEfSe",NA,NA,NA,NA,NA,NA,"lefse",0.0832645166635506,4.17734079362552,TRUE,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Winogradskyella",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ASV441",4.17734079362552,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,1,TRUE
"ASV442","DESeq2",60.90266406427,-9.14042361159075,2.17074469507569,-4.21073175133203,2.54544849360851e-05,5.28300630748936e-05,"deseq2",5.28300630748936e-05,-9.14042361159075,TRUE,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Colwelliaceae","Colwellia","meonggei",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1,TRUE
"ASV442","ALDEx2",NA,NA,NA,NA,NA,NA,"aldex2",0.453311137093331,-1.73767755633685,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Colwelliaceae","Colwellia","meonggei",0.588743858059296,3.10291358103906,-2.83101948983328,-5.54396627903792,3.36638640137084,-1.73767755633685,0.000547999460257121,0.113484650539015,0.453311137093331,0.2125,0.48213678583878,NA,NA,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1,TRUE
"ASV45","ALDEx2",NA,NA,NA,NA,NA,NA,"aldex2",0.45420295203128,-2.04148985751383,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Clade I","Clade Ib",NA,1.98267898112069,2.62716255061837,-3.13658271941761,-5.6606089467301,2.84236211914962,-2.04148985751383,0.000547999460257121,0.129199389032886,0.45420295203128,0.2,0.461206966504706,NA,NA,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1,TRUE
"ASV45","DESeq2",43.0101814553204,-8.62443917086337,1.69089070485399,-5.10053023894769,3.38703259940722e-07,1.55238994139497e-06,"deseq2",1.55238994139497e-06,-8.62443917086337,TRUE,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Clade I","Clade Ib",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1,TRUE
"ASV457","ALDEx2",NA,NA,NA,NA,NA,NA,"aldex2",0.0997650156269334,5.14010365418745,TRUE,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Vibrionaceae","Vibrio",NA,-3.295790759332,-5.56562221280335,7.95870588521862,13.4501838328648,2.7218928798586,5.14010365418745,0.000547999460257121,0.0135281258004167,0.0997650156269334,0,0,NA,NA,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,2,TRUE
"ASV457","DESeq2",191.37913498535,11.3258623866392,1.47779915690864,7.66400652868923,1.8022072701876e-14,9.91213998603177e-13,"deseq2",9.91213998603177e-13,11.3258623866392,TRUE,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Vibrionaceae","Vibrio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,2,TRUE
"ASV458","ALDEx2",NA,NA,NA,NA,NA,NA,"aldex2",0.129853961469373,3.97916277442359,TRUE,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Pseudoalteromonadaceae","Pseudoalteromonas",NA,-3.43478876142443,-5.79248068728367,5.06607345282879,11.0188226130769,2.93004670327217,3.97916277442359,0.000547999460257121,0.0235867401816098,0.129853961469373,0,0,NA,NA,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,2,TRUE
"ASV458","DESeq2",26.2184523538075,8.45809310410579,2.03999548275025,4.14613325158097,3.38137090666746e-05,6.88797777284111e-05,"deseq2",6.88797777284111e-05,8.45809310410579,TRUE,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Pseudoalteromonadaceae","Pseudoalteromonas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,2,TRUE
"ASV47","DESeq2",26.0971797598181,-7.91585826459789,3.66181855003459,-2.16172870294819,0.030639093862702,0.0411012234743563,"deseq2",0.0411012234743563,-7.91585826459789,TRUE,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Clade I","Clade Ib",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1,TRUE
"ASV47","ALDEx2",NA,NA,NA,NA,NA,NA,"aldex2",0.770324052645698,-0.906788568211637,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Clade I","Clade Ib",NA,-1.55419385598761,2.40633687995531,-3.29364125065721,-4.7223310268361,5.08987115196732,-0.906788568211637,0.209304524505175,0.420233577851299,0.770324052645698,0.562499999999999,0.833784712939545,NA,NA,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1,TRUE
"ASV479","ALDEx2",NA,NA,NA,NA,NA,NA,"aldex2",0.425237323080917,-2.21268128790249,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Colwelliaceae","Thalassotalea",NA,1.8185733700298,2.90730227542895,-3.25383392028885,-5.90102672269011,2.67441653624397,-2.21268128790249,0.000547999460257121,0.116879392839584,0.425237323080917,0.2,0.461206966504706,NA,NA,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1,TRUE
"ASV479","DESeq2",44.3653587187226,-8.68660558200347,1.73281979222865,-5.01298843709031,5.35911184757407e-07,2.26731655089672e-06,"deseq2",2.26731655089672e-06,-8.68660558200347,TRUE,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Colwelliaceae","Thalassotalea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1,TRUE
"ASV49","ALDEx2",NA,NA,NA,NA,NA,NA,"aldex2",0.349155498067584,-2.51439884066644,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Colwelliaceae","Colwellia",NA,3.34935047672479,4.55769769077039,-2.898650253322,-8.37374761174139,3.55767007713133,-2.51439884066644,0.000547999460257121,0.0693849664422697,0.349155498067584,0.2,0.461206966504706,NA,NA,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1,TRUE
"ASV49","DESeq2",311.937532236721,-11.4940093616011,2.10732504338363,-5.4543125170409,4.91626736628018e-08,3.00438561272678e-07,"deseq2",3.00438561272678e-07,-11.4940093616011,TRUE,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Colwelliaceae","Colwellia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1,TRUE
"ASV495","DESeq2",21.7690551456725,3.10788330089429,2.63403001445019,1.17989669208193,0.238041305684519,0.267189220666297,"deseq2",0.267189220666297,3.10788330089429,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Oleiphilaceae","Oleiphilus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,TRUE
