"TaxaID","source","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","method","adjusted_p_value","score","significant","Kingdom","Phylum","Class","Order","Family","Genus","Species","rab.all","rab.win.control","rab.win.DOR1","diff.btw","diff.win","effect","overlap","we.ep","we.eBH","wi.ep","wi.eBH","Names","scores","significant_in_deseq2.x","significant_in_aldex2.x","significant_in_lefse.x","significant_in_deseq2.y","significant_in_aldex2.y","significant_in_lefse.y","n_methods","is_significant"
"ASV1158","DESeq2",36.8987404618335,8.38333545293206,1.30310788612747,6.42963461308372,1.27911040055043e-10,1.07658458712995e-09,"deseq2",1.07658458712995e-09,8.38333545293206,TRUE,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Crocinitomicaceae","Salinirepens",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,3,TRUE
"ASV1158","LEfSe",NA,NA,NA,NA,NA,NA,"lefse",0.0832645166635506,4.07525828641717,TRUE,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Crocinitomicaceae","Salinirepens",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ASV1158",4.07525828641717,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,3,TRUE
"ASV1158","ALDEx2",NA,NA,NA,NA,NA,NA,"aldex2",0.126720190689761,5.19418810388473,TRUE,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Crocinitomicaceae","Salinirepens",NA,-3.75786855530851,-5.87957960741752,5.44701222358346,11.1587882598844,2.20551148589111,5.19418810388473,0.000547999460257121,0.0190727588099935,0.126720190689761,0,0,NA,NA,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,3,TRUE
"ASV116","DESeq2",40.0947653883458,-3.09954546769231,2.37284056500151,-4.92170473377452,NA,NA,"deseq2",NA,-3.09954546769231,NA,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Sedimentitalea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
"ASV116","ALDEx2",NA,NA,NA,NA,NA,NA,"aldex2",0.968262313086401,-0.00685163910905281,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Sedimentitalea",NA,-3.33254852750018,-3.66528299570408,-2.86267655008451,-0.0329349203373441,7.24287067504255,-0.00685163910905281,0.496124050418246,0.780126099302771,0.968262313086401,0.6875,0.973015470054701,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
"ASV1179","ALDEx2",NA,NA,NA,NA,NA,NA,"aldex2",0.424353879224608,2.53370736915198,FALSE,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Aquimarina",NA,1.67027840930209,1.22700376022698,4.07914336945138,2.9127679351598,1.11586450170758,2.53370736915198,0.000547999460257121,0.11513741066106,0.424353879224608,0,0,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
"ASV1179","DESeq2",31.8874771211878,0.317581338109949,0.845854101633688,0.375512668817315,0.707279226296937,0.728930631183578,"deseq2",0.728930631183578,0.317581338109949,FALSE,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Aquimarina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
"ASV1194","DESeq2",38.7807938393809,-6.97009124431896,1.73723072141934,-4.002898701964,6.25710975520264e-05,0.00011285144379919,"deseq2",0.00011285144379919,-6.97009124431896,TRUE,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,2,TRUE
"ASV1194","ALDEx2",NA,NA,NA,NA,NA,NA,"aldex2",0.546112625925753,-1.59124125315801,FALSE,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae",NA,NA,-0.236941826533329,2.65466385663543,-3.16711803935491,-5.28584591154026,3.35767342287589,-1.59124125315801,0.0312696412751581,0.139464278242003,0.546112625925753,0.2375,0.54991303962172,NA,NA,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,2,TRUE
"ASV1194","LEfSe",NA,NA,NA,NA,NA,NA,"lefse",0.0832645166635506,-3.62023574956598,TRUE,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ASV1194",-3.62023574956598,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,2,TRUE
