"TaxaID","rab.all","rab.win.control","rab.win.DOR1","diff.btw","diff.win","effect","overlap","we.ep","we.eBH","wi.ep","wi.eBH","method","adjusted_p_value","score","significant","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"ASV34",1.96844326108321,2.26907925106528,-3.34583995209054,-5.70216905244633,2.38514367903311,-2.61520521228597,0.000547999460257121,0.129934228854845,0.528826698117886,0.2,0.501518012328302,"ALDEx2",0.528826698117886,-2.61520521228597,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Clade IV",NA,NA
"ASV35",-3.69634621783002,-5.79671560204556,7.15454646803713,12.8286545873382,2.79734016355827,4.96869826777422,0.000547999460257121,0.0142320203518901,0.110257140981196,0,0,"ALDEx2",0.110257140981196,4.96869826777422,TRUE,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Crocinitomicaceae","Fluviicola",NA
"ASV37",1.7078108108737,2.10932198924911,-2.78046204399312,-4.77773090649138,2.40154833083946,-2.4047231733933,0.000547999460257121,0.14405096085305,0.538198303421283,0.2,0.501518012328302,"ALDEx2",0.538198303421283,-2.4047231733933,FALSE,"Bacteria","Cyanobacteria","Cyanobacteriia","Synechococcales","Cyanobiaceae","Synechococcus CC9902",NA
"ASV39",1.43041439675787,1.8693288583663,-3.28762628007505,-5.06817693021083,2.9748088786286,-1.91927339626589,0.00782930484115282,0.178860344232007,0.599287957101398,0.2015625,0.504078987938058,"ALDEx2",0.599287957101398,-1.91927339626589,FALSE,"Bacteria","Actinobacteriota","Acidimicrobiia","Actinomarinales","Actinomarinaceae","Candidatus Actinomarina",NA
"ASV42",0.240456375409767,0.756131850846781,-3.099485782049,-4.42365693165821,2.80558235897708,-1.53646684496713,0.0387751645274906,0.179600060485562,0.60644744846962,0.2484375,0.549832776508225,"ALDEx2",0.60644744846962,-1.53646684496713,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Marinomonadaceae","Marinomonas",NA
"ASV45",2.21722517263876,2.22788022650426,1.1642455453121,-1.07576806780216,3.29560144063997,-0.284168464677513,0.426356966101453,0.600130378572908,0.99163631561034,0.870312499999999,0.987904203953868,"ALDEx2",0.99163631561034,-0.284168464677513,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Clade I","Clade Ib",NA
"ASV47",-1.11047369702807,2.04247158573555,-2.90557516116039,-3.87965526881748,5.64059881093145,-0.659296590670635,0.218752092515224,0.459123013823335,0.85482659576529,0.562499999999999,0.875547200388053,"ALDEx2",0.85482659576529,-0.659296590670635,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Clade I","Clade Ib",NA
"ASV49",3.04538728701818,4.19897964975995,-3.27286532059658,-8.04066363240052,3.41915254220455,-2.42420216048453,0.000547999460257121,0.0876215704251989,0.444611425888355,0.2,0.501518012328302,"ALDEx2",0.444611425888355,-2.42420216048453,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Colwelliaceae","Colwellia",NA
"ASV50",2.55154458423324,1.30043384117033,2.89355762757058,1.39923805716094,1.65922612990333,0.584862725033573,0.333334272252202,0.608178092527702,0.997916326984038,0.406249999999999,1,"ALDEx2",0.997916326984038,0.584862725033573,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Pseudophaeobacter",NA
"ASV51",1.72747200380444,2.00017101242045,-2.75071738866703,-4.731660296214,2.57667959203924,-1.96282329919187,0.000547999460257121,0.152974192798511,0.572285237262634,0.2,0.501518012328302,"ALDEx2",0.572285237262634,-1.96282329919187,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Clade I","Clade Ib",NA
