"TaxaID","source","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","method","adjusted_p_value","score","significant","Kingdom","Phylum","Class","Order","Family","Genus","Species","Names","scores","significant_in_deseq2.x","significant_in_aldex2.x","significant_in_lefse.x","significant_in_deseq2.y","significant_in_aldex2.y","significant_in_lefse.y","n_methods","is_significant"
"ASV20","DESeq2",113.733903026614,1.50230513020469,0.818782908083258,1.83481416276424,0.066533229412039,0.100383468937462,"deseq2",0.100383468937462,1.50230513020469,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Clade I","Clade Ia",NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
"ASV2064","DESeq2",91.5886198132897,7.89353457462947,2.27428325745377,3.12410775567428,0.00178345130846907,0.00666855706644958,"deseq2",0.00666855706644958,7.89353457462947,TRUE,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Marinobacteraceae","Marinobacter",NA,NA,NA,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,2,TRUE
"ASV2064","LEfSe",NA,NA,NA,NA,NA,NA,"lefse",0.0832645166635501,4.4836906355342,TRUE,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Marinobacteraceae","Marinobacter",NA,"ASV2064",4.4836906355342,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,2,TRUE
"ASV21","DESeq2",47.0346645844562,1.65818836341178,1.13187470042094,1.46455031759627,0.143043645332688,0.187338455037717,"deseq2",0.187338455037717,1.65818836341178,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","AEGEAN-169 marine group",NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
"ASV223","DESeq2",103.637208140369,-6.78797833208005,1.8456696546499,-3.57525036220076,0.000349892902128532,0.00321214217320493,"deseq2",0.00321214217320493,-6.78797833208005,TRUE,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Cellvibrionaceae","Aestuariicella",NA,NA,NA,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1,TRUE
"ASV2303","DESeq2",34.4657976832613,-2.27051728705446,2.3569328765635,-1.473526804919,0.140609041546233,0.187338455037717,"deseq2",0.187338455037717,-2.27051728705446,FALSE,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Winogradskyella",NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
"ASV236","DESeq2",112.700012545453,-2.57632974491833,2.34025070044391,-1.91282225525688,0.0557708110417768,0.0856480312427286,"deseq2",0.0856480312427286,-2.57632974491833,FALSE,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Aurantivirga",NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
"ASV24","DESeq2",316.785981535879,-7.37760314324011,1.85003151068036,-3.73364120543999,0.000188731303395323,0.00310289309287233,"deseq2",0.00310289309287233,-7.37760314324011,TRUE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Pseudophaeobacter",NA,NA,NA,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1,TRUE
"ASV248","DESeq2",20.200860364731,-2.27910780443256,2.35583547144327,-1.32903159934865,0.183837544909754,0.216575737838888,"deseq2",0.216575737838888,-2.27910780443256,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Alteromonadaceae","Alteromonas","australica",NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
"ASV256","DESeq2",29.0122348751236,-1.52219372821839,2.35040951654169,-3.27553162919767,0.00105463304227996,0.00601101680390907,"deseq2",0.00601101680390907,-1.52219372821839,TRUE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Amylibacter",NA,NA,NA,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1,TRUE
"ASV2656","DESeq2",30.364298710416,-4.89667443748724,2.06038090999404,-2.3615874658768,0.0181968788019501,0.0306849328817197,"deseq2",0.0306849328817197,-4.89667443748724,TRUE,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae",NA,NA,NA,NA,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1,TRUE
"ASV27","DESeq2",203.415192118292,-6.29795893665897,1.96286077177656,-3.17389204429533,0.00150409622580009,0.00615963216280038,"deseq2",0.00615963216280038,-6.29795893665897,TRUE,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Saccharospirillaceae","Oceaniserpentilla",NA,NA,NA,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,1,TRUE
"ASV3","DESeq2",254.652285537182,1.0659275259768,0.794139355500805,1.34217535103441,0.179539146644811,0.214449536270191,"deseq2",0.214449536270191,1.0659275259768,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Clade I","Clade Ia",NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
"ASV30","DESeq2",88.5641800203859,0.996217398763584,2.11887436719327,0.4627588878346,0.643537202935987,0.674929261615791,"deseq2",0.674929261615791,0.996217398763584,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Clade II",NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
"ASV3131","DESeq2",28.3671599904787,-2.19137223484432,2.36013802738471,-1.39632805654183,0.162615728733228,0.199785038157966,"deseq2",0.199785038157966,-2.19137223484432,FALSE,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Tenacibaculum",NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE
